"","x"
"931",2.79034187407503e-33
"932",1
"933",5.22448370364007e-71
"934",3.22612320264454e-31
"935",1.10700013580346e-19
"936",1
"937",4.16485644047808e-62
"938",3.09739532691431e-18
"939",1.0181454569349e-33
"940",4.3564047685658e-12
"941",1.16254784384939e-18
"942",2.42875784611265e-27
"943",1
"944",7.23664520281906e-45
"945",1.50729824254121e-71
"946",1.24029463697183e-25
"947",3.19566267817229e-65
"948",6.50207352488211e-85
"949",1.00825106943534e-78
"950",3.25527978332434e-26
"951",1.43713768335928e-242
"952",2.03405818101625e-201
"953",1.93528339476499e-27
"954",4.26805670259594e-291
"955",3.92790039106639e-238
"956",0.0140102641085804
"957",1.79594285932027e-259
"958",4.79629138977965e-176
"959",1.26180908380781e-73
"960",2.25256092231997e-36
"961",3.22392375670833e-32
"962",0
"963",1.45134897464617e-76
"964",0
"965",0
"966",1.13268612935786e-31
"967",0
"968",8.4338722116723e-309
"969",3.44647995332855e-33
"970",4.72174172670612e-112
"971",7.28300773667783e-120
"972",2.20926505986598e-80
"973",2.42542562548145e-38
"974",1.60219270401476e-21
"975",0.00301305406846635
"976",3.14176980143198e-141
"977",1.75801995137484e-57
"978",1.61063507398256e-30
"979",1
"980",7.71861640774667e-106
"981",1.1789825764797e-26
"982",7.56873406846656e-36
"983",5.39552229194669e-19
"984",1.44175248385197e-09
"985",0.631326885425719
"986",1
"987",1
"988",0.0042354257821898
"989",1
"990",0
"991",2.15764647745855e-20
"992",1.68610195566755e-19
"993",1.96836453815139e-68
"994",4.95139308553561e-37
"995",2.96351466043453e-192
"996",3.28017463335964e-304
"997",1.31854722252113e-38
"998",6.23990889148234e-225
"999",0
"1000",4.07126409845793e-09
"1001",6.88050842699426e-179
"1002",6.99516317371452e-233
"1003",6.25863320061033e-81
"1004",1.03803924063252e-46
"1005",7.92866221051072e-67
"1006",0
"1007",3.03177888678719e-107
"1008",0
"1009",0
"1010",4.54738075425914e-44
"1011",6.99210081631326e-285
"1012",0
"1013",1.28139963354427e-57
"1014",1.20856035158162e-97
"1015",1.99061600135323e-120
"1016",1.32019880679863e-89
"1017",2.05739303284295e-42
"1018",3.70973047373809e-24
"1019",0.387667277055063
"1020",4.67158293848371e-130
"1021",1.71777116199956e-58
"1022",9.88762321846512e-31
"1023",1
"1024",4.72018318722942e-128
"1025",1.02746393319468e-30
"1026",2.68166814424198e-37
"1027",2.79125710006973e-18
"1028",0.00134844964207274
"1029",4.86710699179501e-10
"1030",0.0151202242752281
"1031",1
"1032",1.46490795173727e-06
"1033",1
"1034",0
"1035",0
"1036",3.18408326621142e-24
"1037",1.99097148266418e-09
"1038",1
"1039",2.43998711487506e-38
"1040",8.89759087782591e-149
"1041",2.38672881444887e-163
"1042",2.39735054429625e-43
"1043",9.89830684992606e-177
"1044",4.21894453919503e-194
"1045",1.04327104710023e-11
"1046",2.7531538651238e-87
"1047",1.96105906997417e-87
"1048",4.97579285260508e-45
"1049",4.58257658337772e-51
"1050",7.00913042547332e-51
